introduction_house,community_house,href_house,unit_house,size_house,direction_house,decoration_house,elevator_house,type_house,years_house,area_house,interests_house,watch_times,submit_period,years_period,tax_free,total_price,smeter_price,region
君山别墅 边户独栋 391平毛坯房,君山别墅 ,https://bj.lianjia.com/ershoufang/101101025128.html,3室2厅,391.86平米,南 北,毛坯,,底层(共2层),2011年建暂无数据,密云其它,79人关注,17次带看,一年前发布,房本满两年,房本满五年,1000,单价25520元/平米,bj
阳光城 君山墅  独栋带花园  精装修,君山别墅 ,https://bj.lianjia.com/ershoufang/101101930845.html,5室3厅,468.73平米,南 北,精装,,底层(共2层),2012年建暂无数据,密云其它,36人关注,7次带看,9个月以前发布,房本满两年,房本满五年,1360,单价29015元/平米,bj
龙湖长城源著 2室1厅 235万,龙湖长城源著 ,https://bj.lianjia.com/ershoufang/101102808676.html,2室1厅,83.14平米,东南,其他,,2层,2015年建暂无数据,密云其它,31人关注,0次带看,29天以前发布,房本满两年,房本满五年,235,单价28266元/平米,bj
商品房 08年社区 板楼南北通透 配套齐全,檀城西区 ,https://bj.lianjia.com/ershoufang/101101728337.html,6室1厅,198.31平米,南 北,精装,,顶层(共6层),2009年建暂无数据,密云其它,40人关注,0次带看,10个月以前发布,房本满两年,房本满五年,398,单价20070元/平米,bj
密云市政府旁边南北小复式单价2万,檀州家园东区 ,https://bj.lianjia.com/ershoufang/101102339145.html,3室2厅,141.31平米,南 北,其他,,顶层(共6层),2006年建暂无数据,密云其它,44人关注,0次带看,5个月以前发布,房本满两年,房本满五年,308,单价21797元/平米,bj
157平 266万18年6月9日满五年家庭唯一住房 南北阳台,众智家园 ,https://bj.lianjia.com/ershoufang/101102703246.html,3室2厅,156.93平米,南 北,其他,,高楼层(共6层),暂无数据,密云其它,56人关注,0次带看,1个月以前发布,房本满两年,房本满五年,266,单价16951元/平米,bj
浒墅山庄 9室9厅 12000万,浒墅山庄 ,https://bj.lianjia.com/ershoufang/101102116669.html,9室9厅,925.55平米,东 东南 南 西南 西,其他,,底层(共2层),暂无数据,密云其它,48人关注,0次带看,7个月以前发布,房本满两年,房本满五年,12000,单价129653元/平米,bj
赏星悦木 5室3厅 1200万,赏星悦木 ,https://bj.lianjia.com/ershoufang/101102896564.html,5室3厅,224.7平米,东 南 西 北,精装,,底层(共2层),暂无数据,密云其它,0人关注,0次带看,3天以前发布,房本满两年,房本满五年,1200,单价53405元/平米,bj
首创澜茵山 4室2厅 260万,首创澜茵山 ,https://bj.lianjia.com/ershoufang/101102847469.html,4室2厅,123.72平米,南 北,精装,,中楼层(共17层),2016年建暂无数据,密云其它,8人关注,0次带看,17天以前发布,,房本满五年,260,单价21016元/平米,bj
果园新里南区 3室2厅 260万,果园新里南区 ,https://bj.lianjia.com/ershoufang/101102494582.html,3室2厅,108.75平米,南 北,精装,,顶层(共6层),2004年建暂无数据,密云其它,13人关注,1次带看,4个月以前发布,,房本满五年,260,单价23909元/平米,bj
石桥西区 3室2厅 240万,石桥西区 ,https://bj.lianjia.com/ershoufang/101102268496.html,3室2厅,102.32平米,南 北,其他,,顶层(共6层),2009年建暂无数据,密云其它,20人关注,1次带看,6个月以前发布,,房本满五年,240,单价23456元/平米,bj
万科云溪 2室2厅 240万,万科云溪 ,https://bj.lianjia.com/ershoufang/101102827023.html,2室2厅,90.39平米,南 北,精装,,顶层(共9层),2017年建暂无数据,密云其它,3人关注,0次带看,23天以前发布,,,240,单价26552元/平米,bj
龙湖长城源著 2室1厅 220万,龙湖长城源著 ,https://bj.lianjia.com/ershoufang/101102808685.html,2室1厅,78.82平米,东南,其他,,2层,2015年建暂无数据,密云其它,9人关注,0次带看,29天以前发布,,,220,单价27912元/平米,bj
南北通透四居室，双卫有窗户，全明格局，精装修,首创澜茵山 ,https://bj.lianjia.com/ershoufang/101102732528.html,4室1厅,123.4平米,南 北,简装,,高楼层(共16层),2016年建暂无数据,密云其它,62人关注,1次带看,1个月以前发布,,,250,单价20260元/平米,bj
澜茵山观景洋房，南北通透，低总价三居，依山傍水，,首创澜茵山 ,https://bj.lianjia.com/ershoufang/101102450676.html,3室2厅,123.4平米,南 北,其他,,低楼层(共16层),2014年建暂无数据,密云其它,81人关注,1次带看,4个月以前发布,,,265,单价21475元/平米,bj
澜茵山观景洋房，南北通透，低总价三居，依山傍水,首创澜茵山 ,https://bj.lianjia.com/ershoufang/101102708271.html,3室2厅,98.88平米,南 北,其他,,高楼层(共7层),2016年建暂无数据,密云其它,23人关注,1次带看,1个月以前发布,,,210,单价21238元/平米,bj
